----- ADDS -----
DSCF5397_print480dpi	DSCF5397_print480dpi.psd
XT1A9805	bjorke_Prot_XT1A9805.JPG
XT1A9806	bjorke_Prot_XT1A9806.JPG
XT1A9807	bjorke_Prot_XT1A9807.JPG
XT1A9808	bjorke_Prot_XT1A9808.JPG
XT1A9809	bjorke_Prot_XT1A9809.JPG
XT1A9810	bjorke_Prot_XT1A9810.JPG
XT1A9811	bjorke_Prot_XT1A9811.JPG
XT1A9812	bjorke_Prot_XT1A9812.JPG
XT1A9813	bjorke_Prot_XT1A9813.JPG
XT1A9814	bjorke_Prot_XT1A9814.JPG
XT1A9815	bjorke_Prot_XT1A9815.JPG
XT1A9816	bjorke_Prot_XT1A9816.JPG
XT1A9817	bjorke_Prot_XT1A9817.JPG
XT1A9818	bjorke_Prot_XT1A9818.JPG
XT1A9819	bjorke_Prot_XT1A9819.JPG
XT1A9820	bjorke_Prot_XT1A9820.JPG
XT1A9821	bjorke_Prot_XT1A9821.JPG
XT1A9822	bjorke_Prot_XT1A9822.JPG
XT1A9823	bjorke_Prot_XT1A9823.JPG
XT1A9824	bjorke_Prot_XT1A9824.JPG
XT1A9825	bjorke_Prot_XT1A9825.JPG
XT1A9826	bjorke_Prot_XT1A9826.JPG
XT1A9827	bjorke_Prot_XT1A9827.JPG
XT1A9828	bjorke_Prot_XT1A9828.JPG
XT1A9829	bjorke_Prot_XT1A9829.JPG
XT1A9830	bjorke_Prot_XT1A9830.JPG
XT1A9832	bjorke_Prot_XT1A9832.JPG
XT1A9833	bjorke_Prot_XT1A9833.JPG
XT1A9834	bjorke_Prot_XT1A9834.JPG
XT1A9835	bjorke_Prot_XT1A9835.JPG
XT1A9836	bjorke_Wood_XT1A9836.JPG
XT1A9837	bjorke_Wood_XT1A9837.JPG
XT1A9838	bjorke_Wood_XT1A9838.JPG
XT1A9839	bjorke_Wood_XT1A9839.JPG
XT1A9840	bjorke_Wood_XT1A9840.JPG
XT1A9841	bjorke_Wood_XT1A9841.JPG
XT1A9842	bjorke_Wood_XT1A9842.JPG
XT1A9843	bjorke_Wood_XT1A9843.JPG
XT1A9731	bjorke_Shelter_XT1A9731.JPG
XT1A9732	bjorke_Shelter_XT1A9732.JPG
XT1A9733	bjorke_Shelter_XT1A9733.JPG
XT1A9734	bjorke_Shelter_XT1A9734.JPG
XT1A9735	bjorke_Shelter_XT1A9735.JPG
XT1A9736	bjorke_Shelter_XT1A9736.JPG
XT1A9737	bjorke_Shelter_XT1A9737.JPG
XT1A9738	bjorke_Shelter_XT1A9738.JPG
XT1A9739	bjorke_Shelter_XT1A9739.JPG
XT1A9740	bjorke_Shelter_XT1A9740.JPG
XT1A9741	bjorke_Shelter_XT1A9741.JPG
XT1A9742	bjorke_Shelter_XT1A9742.JPG
XT1A9743	bjorke_Shelter_XT1A9743.JPG
XT1A9744	bjorke_Shelter_XT1A9744.JPG
XT1A9745	bjorke_Shelter_XT1A9745.JPG
XT1A9746	bjorke_Shelter_XT1A9746.JPG
XT1A9747	bjorke_Shelter_XT1A9747.JPG
XT1A9710	bjorke_Shelter_XT1A9710.JPG
XT1A9711	bjorke_Shelter_XT1A9711.JPG
XT1A9712	bjorke_Shelter_XT1A9712.JPG
XT1A9713	bjorke_Shelter_XT1A9713.JPG
XT1A9714	bjorke_Shelter_XT1A9714.JPG
XT1A9715	bjorke_Shelter_XT1A9715.JPG
XT1A9716	bjorke_Shelter_XT1A9716.JPG
XT1A9717	bjorke_Shelter_XT1A9717.JPG
XT1A9718	bjorke_Shelter_XT1A9718.JPG
XT1A9719	bjorke_Shelter_XT1A9719.JPG
XT1A9720	bjorke_Shelter_XT1A9720.JPG
XT1A9721	bjorke_Shelter_XT1A9721.JPG
XT1A9722	bjorke_Shelter_XT1A9722.JPG
XT1A9723	bjorke_Shelter_XT1A9723.JPG
XT1A9724	bjorke_Shelter_XT1A9724.JPG
XT1A9748	bjorke_Shelter_XT1A9748.JPG
XT1A9749	bjorke_Shelter_XT1A9749.JPG
XT1A9750	bjorke_Shelter_XT1A9750.JPG
XT1A9751	bjorke_Shelter_XT1A9751.JPG
XT1A9752	bjorke_Shelter_XT1A9752.JPG
XT1A9753	bjorke_Shelter_XT1A9753.JPG
XT1A9754	bjorke_Shelter_XT1A9754.JPG
XT1A9755	bjorke_Shelter_XT1A9755.JPG
XT1A9756	bjorke_Shelter_XT1A9756.JPG
XT1A9757	bjorke_Shelter_XT1A9757.JPG
XT1A9758	bjorke_Shelter_XT1A9758.JPG
XT1A9759	bjorke_Shelter_XT1A9759.JPG
XT1A9760	bjorke_Shelter_XT1A9760.JPG
XT1A9725	bjorke_Shelter_XT1A9725.JPG
XT1A9726	bjorke_Shelter_XT1A9726.JPG
XT1A9727	bjorke_Shelter_XT1A9727.JPG
XT1A9728	bjorke_Shelter_XT1A9728.JPG
XT1A9729	bjorke_Shelter_XT1A9729.JPG
XT1A9730	bjorke_Shelter_XT1A9730.JPG
DSCF4329b	DSCF4329b.psd
bjorke_EndOfMay_00000	bjorke_EndOfMay_00000.xmp
BJRK0597s	BJRK0597s.JPG
BJRK0940b	BJRK0940b.jpg
JOKR1590s	JOKR1590s.JPG
JOKR1984e	JOKR1984e.JPG
JOKR2228e	JOKR2228e.JPG
JOKR3449e	JOKR3449e.JPG
JOKR3449e2	JOKR3449e2.JPG
JOKR4250e	JOKR4250e.JPG
JOKR4871s	JOKR4871s.JPG
bjorke_P1070586-print	bjorke_P1070586-print
bjorke_mzuck_2015	bjorke_mzuck_2015.jpg
bjorke_mzuck_2015_s	bjorke_mzuck_2015_s.jpg
jokr0949 (1)	jokr0949 (1).jpg
jokr0949_14311746232_o	jokr0949_14311746232_o.jpg
JOKR2675e	JOKR2675e.jpg
p1000208	bjorke_p1000208.jpg
p1000209	bjorke_p1000209.jpg
p1000218	bjorke_p1000218.jpg
p1000221	bjorke_p1000221.jpg
p1000226	bjorke_p1000226.jpg
p1000229	bjorke_p1000229.jpg
p1000230	bjorke_p1000230.jpg
p1000661	bjorke_p1000661.jpg
p1000672	bjorke_p1000672.jpg
p1000678	bjorke_p1000678.jpg
p1000682	bjorke_p1000682.jpg
p1000726	bjorke_p1000726.jpg
p1000763	bjorke_p1000763.jpg
p1000201	bjorke_p1000201.jpg
p1000203	bjorke_p1000203.jpg
p1000204	bjorke_p1000204.jpg
p1000205	bjorke_p1000205.jpg
p1150999	Kevin_Bjorke_p1150999.jpg
p1150829	bjorke_p1150829.jpg
p1150783	bjorke_p1150783.jpg
p1150813	bjorke_p1150813.jpg
p1150814	bjorke_p1150814.jpg
p1150821	bjorke_p1150821.jpg
p1150830	bjorke_p1150830.jpg
p1150846	bjorke_p1150846.jpg
p1150852	bjorke_p1150852.jpg
p1150854	bjorke_p1150854.jpg
p1150863	bjorke_p1150863.jpg
p1150876	bjorke_p1150876.jpg
p1150879	bjorke_p1150879.jpg
p1150883	bjorke_p1150883.jpg
p1150891	bjorke_p1150891.jpg
p1150935	bjorke_p1150935.jpg
p1150962	bjorke_p1150962.jpg
p1150964	bjorke_p1150964.jpg
p1070967	bjorke_p1070967.jpg
pic26209	bjorke_pic26209.jpg
pic26231	bjorke_pic26231.jpg
pic26269	bjorke_pic26269.jpg
JOKR2426n	JOKR2426n.jpg
JOKR2667e	JOKR2667e.jpg
bjorke_'DSCF1573	bjorke_'DSCF1573.jpg
Liq_20_bjorke_'DSCF1573	Liq_20_bjorke_'DSCF1573.png
kevt9068_17733892001_o	kevt9068_17733892001_o.jpg
third-near-howard_14550699028_o	third-near-howard_14550699028_o.jpg
third-near-howard_14916050738_o	third-near-howard_14916050738_o.jpg
third-near-howard_15050634285_o	third-near-howard_15050634285_o.jpg
third-off-brannan_17068258330_o	third-off-brannan_17068258330_o.jpg
third-off-minna_15749771676_o	third-off-minna_15749771676_o.jpg
third-past-mission_15429362279_o	third-past-mission_15429362279_o.jpg
third-street-garage_15411869614_o	third-street-garage_15411869614_o.jpg
third-to-minna_15518186075_o	third-to-minna_15518186075_o.jpg
to-minna-on-third_15772871179_o	to-minna-on-third_15772871179_o.jpg
townsend-facing-ritch_16096015225_o	townsend-facing-ritch_16096015225_o.jpg
under-minna_16289032215_o	under-minna_16289032215_o.jpg
valentine-montgomery-and-bush_16352939928_o	valentine-montgomery-and-bush_16352939928_o.jpg
